X,Y,NO_TUGU,X,Y,X_TM3,Y_TM3,icon_url
123.239237897222,-1.00359011388889,19190.000000,123.239238,-1.003590,,,./0.png
123.210724858333,-0.866941708333333,19191.000000,123.210725,-0.866942,,,./0.png
123.304166263889,-0.942289524166667,19192.000000,123.304166,-0.942290,,,./0.png
123.333737172222,-1.0448516,19193.000000,123.333737,-1.044852,,,./0.png
123.387796897222,-0.958504788888889,19194.000000,123.387797,-0.958505,,,./0.png
123.393631377778,-0.882015186111111,19195.000000,123.393631,-0.882015,,,./0.png
123.431174105556,-0.820342397222222,19196.000000,123.431174,-0.820342,,,./0.png
122.143163083333,-0.928792308333333,19212.000000,122.143163,-0.928792,,,./0.png
122.234592919444,-0.938449741666667,19213.000000,122.234593,-0.938450,,,./0.png
122.202504086111,-0.793169311111111,19214.000000,122.202504,-0.793169,,,./0.png
122.360268336111,-0.788760675,19215.000000,122.360268,-0.788761,,,./0.png
122.488889294444,-0.798084677777778,19216.000000,122.488889,-0.798085,,,./0.png
122.873619305556,-0.855009683333333,19217.000000,122.873619,-0.855010,,,./0.png
122.591949475,-0.777358944444445,19218.000000,122.591949,-0.777359,,,./0.png
122.648781744444,-0.799327886111111,19219.000000,122.648782,-0.799328,,,./0.png
122.764359741667,-0.793791447222222,19220.000000,122.764360,-0.793791,,,./0.png
122.854652827778,-0.773204958333333,19221.000000,122.854653,-0.773205,,,./0.png
122.872029413889,-0.922728761111111,19222.000000,122.872029,-0.922729,,,./0.png
122.3796962,-1.41555260555556,19223.000000,122.379696,-1.415553,,,./0.png
122.382200761111,-1.48675073888889,19224.000000,122.382201,-1.486751,,,./0.png
122.263661877778,-1.50082415555556,19225.000000,122.263662,-1.500824,,,./0.png
122.211305588889,-1.51601240833333,19226.000000,122.211306,-1.516012,,,./0.png
122.090396302778,-1.60187551388889,19227.000000,122.090396,-1.601876,,,./0.png
122.027927361111,-1.61080576388889,19228.000000,122.027927,-1.610806,,,./0.png
121.962639455556,-1.60196174166667,19229.000000,121.962639,-1.601962,,,./0.png
121.9574115,-1.64646170555556,19230.000000,121.957412,-1.646462,,,./0.png
121.873758236111,-1.66493917222222,19231.000000,121.873758,-1.664939,,,./0.png
119.890847783333,-0.021633886111111,19257.000000,119.890848,-0.021634,354828.28237799997,1497607.37825999991,./0.png
119.923739058333,-0.081983363888889,19258.000000,119.923739,-0.081983,358490.31807300000,1490932.83730000001,./0.png
119.855358244444,-0.073390319444444,19259.000000,119.855358,-0.073390,350876.74565800000,1491883.44390999991,./0.png
119.822499077778,-0.127292780555556,19260.000000,119.822499,-0.127293,347218.00202499999,1485922.32504000003,./0.png
119.758890308333,-0.132064569444444,19261.000000,119.758890,-0.132065,340135.99610500003,1485394.96693999995,./0.png
119.689593252778,-0.124642725,19262.000000,119.689593,-0.124643,332420.93968700001,1486216.10810999991,./0.png
119.7148185,-0.045379791666667,19263.000000,119.714819,-0.045380,335229.61213099997,1494981.52859000000,./0.png
119.646980113889,-0.058360763888889,19264.000000,119.646980,-0.058361,327676.99368700001,1493546.14424999990,./0.png
119.630905794444,-0.014743691666667,19265.000000,119.630906,-0.014744,325887.49329000001,1498369.57027000003,./0.png
119.819697347222,-0.193419830555556,19266.000000,119.819697,-0.193420,346905.59176600003,1478609.16810999997,./0.png
119.816814588889,-0.258659561111111,19267.000000,119.816815,-0.258660,346583.97866000002,1471394.15911999997,./0.png
119.773322422222,-0.305815611111111,19268.000000,119.773322,-0.305816,341741.16965499998,1466179.63098999998,./0.png
119.795640080556,-0.367937663888889,19269.000000,119.795640,-0.367938,344224.99139799998,1459309.14895000006,./0.png
